Filename,Category,Description
dwacomb.2.c,Auto-gen'd Destination Word Accumulation (DWA) Morphology Code,DWA morphology with auto-generated comb Sels for composite operations on brick Sels
dwacomblow.2.c,Auto-gen'd Destination Word Accumulation (DWA) Morphology Code,Low-level Sel implementation for dwacomb.2.c
fhmtgen.1.c,Auto-gen'd Destination Word Accumulation (DWA) Morphology Code,DWA morphology with auto-generated hit-miss sels (high-level)
fhmtgenlow.1.c,Auto-gen'd Destination Word Accumulation (DWA) Morphology Code,Low-level Sel implementation for fhmtgen.1.c
fmorphgen.1.c,Auto-gen'd Destination Word Accumulation (DWA) Morphology Code,DWA morphology with auto-generated brick sels (high-level)
fmorphgenlow.1.c,Auto-gen'd Destination Word Accumulation (DWA) Morphology Code,Low-level Sel implementation for fmorphgen.1.c
boxbasic.c,"Basic Box, Boxa and Boxaa Functions","Implementation of Box, Boxa (Box array), and Boxaa classes"
boxfunc1.c,"Basic Box, Boxa and Boxaa Functions","Box intersection, union, containment; Boxa union, extent, permutation"
boxfunc2.c,"Basic Box, Boxa and Boxaa Functions",Boxa/Box transforms; Boxa/Boxaa sorting; Boxaa utilities
boxfunc3.c,"Basic Box, Boxa and Boxaa Functions",Mask <-> Boxa; painting into and drawing Boxa
arithlow.c,Basic image operations,Low-level implementation of grayscale image arithmetic
convolve.c,Basic image operations,"Grayscale, color, float, double convolution; windowed mean, block sum and rank filters; census transform"
convolvelow.c,Basic image operations,Optimized low-level implementation of grayscale convolution and binary rank filter
correlscore.c,Basic image operations,Correlation between pairs of binary images
kernel.c,Basic image operations,Basic operations on image kernels for convolution; special kernels
pixacc.c,Basic image operations,Simple interface for grayscale image arithmetic
pixarith.c,Basic image operations,Grayscale image arithmetic
rank.c,Basic image operations,Rank order filters (generalization of min/median/max filters)
rop.c,Basic image operations,"General rasterops. ""pixRasterop() is your friend; it is worth memorizing!"""
ropiplow.c,Basic image operations,Low-level implementation of in-place rasterops
roplow.c,Basic image operations,Low-level general rasterop implementation
pixabasic.c,Basic Pix Array Functions,Implements Pixa (array of Pix) and Pixaa (2d array of Pix) class
pixafunc1.c,Basic Pix Array Functions,"Binary Pixa (array of Pix) filtering, sorting, clipping. See conncomp.c"
pixafunc2.c,Basic Pix Array Functions,Render a Pixa or Pixaa in a Pix
pixalloc.c,Basic Pix Array Functions,Custom memory allocation for Pix memory
pixtiling.c,Basic Pix Array Functions,Split an image into tiles and perform operations independently on each tile
compare.c,Basic Pix Functions,"Pix equality, binary Pix correlation, image differences"
pix1.c,Basic Pix Functions,Implements Pix (image) class - the fundamental one for this library
pix2.c,Basic Pix Functions,"Pixel poking of image, pad and border pixels"
pix3.c,Basic Pix Functions,"Masking and logical ops, counting, mirrored tiling"
pix4.c,Basic Pix Functions,"Histograms, fg/bg estimation, rectangle extraction"
pix5.c,Basic Pix Functions,"Property measurement of 1bbp images, rectangular region extraction, property measurement along lines, cropping to foreground"
blend.c,Colormap Utilities and Related Operations,Blend (optionally with a mask) and re-coloring images
colormap.c,Colormap Utilities and Related Operations,"Implements PixColormap; colormap conversions, serialization, transforms"
paintcmap.c,Colormap Utilities and Related Operations,"Paint onto colormap images - regions, masks"
ccbord.c,Connected Components in Binary Images,Border representation of connected components: display and svg serialization
ccthin.c,Connected Components in Binary Images,Connected-component-preserving thinning
conncomp.c,Connected Components in Binary Images,Connected component counting and extraction (Heckbert's seedfill algorithm)
fpix1.c,Float-Valued Images,Implements FPix and DPix classes (float and double images)
fpix2.c,Float-Valued Images,FPix operations: interconversion FPix <-> Pix; borders; rasterop; arithmetic
bmpio.c,Formatted I/O,"Read/write bmp format, from/to file and memory"
gifio.c,Formatted I/O,Read/write gif format from/to file and memory
jpegio.c,Formatted I/O,Read/write jpeg format from/to file and memory
leptwin.c,Formatted I/O,Leptonica routines needed only on Microsoft Windows
pngio.c,Formatted I/O,Read/write png format from/to file and memory
pnmio.c,Formatted I/O,Read/write pnm format from/to file and memory
psio1.c,Formatted I/O,High level PostScript device driver for wrapping sets of images in PostScript
psio2.c,Formatted I/O,Lower-level PostScript device driver for wrapping images
readfile.c,Formatted I/O,Pix from memory and disk; detecting format
spixio.c,Formatted I/O,Fast pix serialization to/from file
tiffio.c,Formatted I/O,Read/write tiff format from/to file and memory
writefile.c,Formatted I/O,Pix to memory and disk; selecting format
bmpiostub.c,Formatted I/O Stub Functions,"Read/write bmp format, from/to file and memory"
gifiostub.c,Formatted I/O Stub Functions,Read/write gif format from/to file and memory
jpegiostub.c,Formatted I/O Stub Functions,Read/write jpeg format from/to file and memory
pngiostub.c,Formatted I/O Stub Functions,Read/write png format from/to file and memory
pnmiostub.c,Formatted I/O Stub Functions,Read/write pnm format from/to file and memory
psio1stub.c,Formatted I/O Stub Functions,High level PostScript device driver for wrapping sets of images in PostScript
psio2stub.c,Formatted I/O Stub Functions,Lower-level PostScript device driver for wrapping images
tiffiostub.c,Formatted I/O Stub Functions,Read/write tiff format from/to file and memory
heap.c,Fundamental Data Structures for Computation,"Implements heap of generic pointers to structs that are keyed by a float, used for priority queue"
list.c,Fundamental Data Structures for Computation,Implements doubly-linked list of generic pointers
numabasic.c,Fundamental Data Structures for Computation,"Basic operations for float/int arrays (Numa, Numaa, Numa2d, NumaHash)"
numafunc1.c,Fundamental Data Structures for Computation,"Arithmetic, data extraction, interpolation, sorting on numas"
numafunc2.c,Fundamental Data Structures for Computation,"Shift, scale, convolve, histograms, rank statistics, splitting distributions, extrema finding, threshold crossing, frequency analysis"
pixcomp.c,Fundamental Data Structures for Computation,Handles compressed pix arrays in memory.
ptra.c,Fundamental Data Structures for Computation,"Implements 1d and 2d arrays of generic pointers (Ptra, Ptraa)"
ptabasic.c,Fundamental Data Structures for Computation,"Implements 1d and 2d arrays of points (Pta, Ptaa)"
ptafunc1.c,Fundamental Data Structures for Computation,Manipulation/calculations using arrays of points
queue.c,Fundamental Data Structures for Computation,Implements queue of generic pointers
sarray.c,Fundamental Data Structures for Computation,"Impements an array of C strings, and useful utilities based on it"
